username,platform,engagement_signal,intent_tier,intent_signal,source,competitor_brand,followers
cratliff91,Instagram,1,1-High,comment,ig-comment,,
kaki2415,Instagram,1,1-High,comment,ig-comment,,
str83dge73,Instagram,1,1-High,comment,ig-comment,,
aaron_h.94,Instagram,1,1-High,comment,ig-comment,,
thatonetimetay,Instagram,1,1-High,comment,ig-comment,,
cesar2016,Instagram,1,1-High,comment,ig-comment,,
chasesws,Instagram,1,1-High,comment,ig-comment,,
jetb12,Instagram,1,1-High,comment,ig-comment,,
mitchlk18,Instagram,1,1-High,comment,ig-comment,,
viagocards,Instagram,1,1-High,comment,ig-comment,,
dragonscalesupplies,Instagram,1,1-High,comment,ig-comment,,
b0mbayy,Instagram,1,1-High,comment,ig-comment,,
bebeclays,Instagram,1,1-High,comment,ig-comment,,
frankiesdandelioncrown,Instagram,1,1-High,comment,ig-comment,,
onthemoneyah,Instagram,1,1-High,comment,ig-comment,,
much_siicker_than_your_average,Instagram,1,1-High,comment,ig-comment,,
noahandnoelismommy1416,Instagram,1,1-High,comment,ig-comment,,
deadgirlana,Instagram,1,1-High,comment,ig-comment,,
___adriiana_moreno,Instagram,1,1-High,comment,ig-comment,,
xglitterghostx,Instagram,1,1-High,comment,ig-comment,,
scorpbch,Instagram,1,1-High,comment,ig-comment,,
metztreme,Instagram,1,1-High,comment,ig-comment,,
angelacompres,Instagram,1,1-High,comment,ig-comment,,
crystallizedartist,Instagram,1,1-High,comment,ig-comment,,
larisagabushow,Instagram,1,1-High,comment,ig-comment,,
juliachangcoaching,Instagram,1,1-High,comment,ig-comment,,
alek8888888888,Instagram,1,1-High,comment,ig-comment,,
les_cafes_signatures,Instagram,1,1-High,comment,ig-comment,,
quentin_voulgaris,Instagram,1,1-High,comment,ig-comment,,
dimbulbzer0,Instagram,1,1-High,comment,ig-comment,,
mooniesmakeup,Instagram,1,1-High,comment,ig-comment,,
mina_jaz_moon,Instagram,1,1-High,comment,ig-comment,,
sheislimitless.co,Instagram,1,1-High,comment,ig-comment,,
_moonchildcreations,Instagram,1,1-High,comment,ig-comment,,
suman_goyal__9,Instagram,1,1-High,comment,ig-comment,,
ueheh9530,Instagram,1,1-High,comment,ig-comment,,
garr2745,Instagram,1,1-High,comment,ig-comment,,
thomas_the_artist,Instagram,1,1-High,comment,ig-comment,,
nando.blends,Instagram,1,1-High,comment,ig-comment,,
spydr_awk,Instagram,1,1-High,comment,ig-comment,,
csgofreeskins_,Instagram,1,1-High,comment,ig-comment,,
felipevidoi,Instagram,1,1-High,comment,ig-comment,,
olass90,Instagram,1,1-High,comment,ig-comment,,
cs_aim_v1,Instagram,1,1-High,comment,ig-comment,,
finlaytcg,Instagram,1,1-High,comment,ig-comment,,
danie__19,Instagram,1,1-High,comment,ig-comment,,
tildysbonsai,Instagram,1,1-High,comment,ig-comment,,
margrob25,Instagram,1,1-High,comment,ig-comment,,
irmamadas,Instagram,1,1-High,comment,ig-comment,,
luvekat,Instagram,1,1-High,comment,ig-comment,,
realgeorginataylor,Instagram,1,1-High,comment,ig-comment,,
fayexfatale,Instagram,1,1-High,comment,ig-comment,,
ventura_locals,Instagram,1,1-High,comment,ig-comment,,
missvintagemomo,Instagram,1,1-High,comment,ig-comment,,
deadlydarlingshop,Instagram,1,1-High,comment,ig-comment,,
