username,fullName,niches,hashtags_found,posts,avg_engagement,profile_url,example_post,likely_brand_acct
wolcow_gaming,wolcow gaming,pokemon,pokemoncommunity,1,12,https://www.instagram.com/wolcow_gaming/,https://www.instagram.com/p/Da_bq2mld2C/,
packhunt.app,PackHunt,pokemon,pokemoncommunity,1,1,https://www.instagram.com/packhunt.app/,https://www.instagram.com/p/Da_az56EeXk/,
shasse_de_babal21_official,,pokemon,pokemoncommunity,1,0,https://www.instagram.com/shasse_de_babal21_official/,https://www.instagram.com/p/Da_aWgXoEYf/,
chairmangenevewatch,Chairman Geneve Watches,watch,luxurywatch,1,0,https://www.instagram.com/chairmangenevewatch/,https://www.instagram.com/p/Da_gnjaDfYT/,
atelierandco_mx,,watch,luxurywatch,1,1,https://www.instagram.com/atelierandco_mx/,https://www.instagram.com/p/Da_gYHjkVGK/,
therenegadecollection,The Renegade Collection,watch,luxurywatch,1,1,https://www.instagram.com/therenegadecollection/,https://www.instagram.com/p/Da_fLQBIoz_/,
trata.tech,,watch,luxurywatch,1,0,https://www.instagram.com/trata.tech/,https://www.instagram.com/p/Da_dhm3jouo/,
kongmeng_yangzoo,Yang,watch,luxurywatch,1,0,https://www.instagram.com/kongmeng_yangzoo/,https://www.instagram.com/p/Da_ZA5LATVv/,
officialmswatchstore,MS Watch Store,watch,luxurywatch,1,1,https://www.instagram.com/officialmswatchstore/,https://www.instagram.com/p/Da_SvJTiBS2/,
montclub.ec,MONT CLUB ®️,watch,luxurywatch,1,7,https://www.instagram.com/montclub.ec/,https://www.instagram.com/p/Da_RSO-E92f/,
as_ora_,As-Ora,watch,luxurywatch,1,8,https://www.instagram.com/as_ora_/,https://www.instagram.com/p/Da-aIUgNn9S/,
hs_hype_,,watch,horology,1,1,https://www.instagram.com/hs_hype_/,https://www.instagram.com/p/Da_XYIIHSen/,
shipoli_e,Shipoli,watch,horology,1,53,https://www.instagram.com/shipoli_e/,https://www.instagram.com/p/Da_NjCjjXVq/,
aurorastreasurechest,Auroras Attic,watch,horology,1,0,https://www.instagram.com/aurorastreasurechest/,https://www.instagram.com/p/Da_MF3oCYvM/,
dialed_archive,Dialed_Archive,watch,horology,1,2,https://www.instagram.com/dialed_archive/,https://www.instagram.com/p/Da_DSFgjCtO/,
thecommonman696,The Common Man,watch,horology,1,6,https://www.instagram.com/thecommonman696/,https://www.instagram.com/p/Da_CL5jANl3/,
watchtradng,WATCH TRADING,watch,watchtrading,1,-1,https://www.instagram.com/watchtradng/,https://www.instagram.com/p/Da9GOv-jlQ7/,
cristian_watches91,Cristian watches,watch,watchtrading,1,13,https://www.instagram.com/cristian_watches91/,https://www.instagram.com/p/Da7fvqnCms5/,
sien2024.10,シンエン,watch,watchtrading,1,0,https://www.instagram.com/sien2024.10/,https://www.instagram.com/p/Da7XKRYv_8R/,
wrist_of_time,wrist_of_time 🇧🇪🇹🇼,watch,watchtrading,1,17,https://www.instagram.com/wrist_of_time/,https://www.instagram.com/p/Da66qGzJhW_/,
spacetime_tian,Space Time SDN BHD,watch,watchtrading,1,1,https://www.instagram.com/spacetime_tian/,https://www.instagram.com/p/Da0Cv88m_xf/,
dominique3394go,dominique chapman,watch,watchtrading,1,1,https://www.instagram.com/dominique3394go/,https://www.instagram.com/p/DawoFJuCaON/,
everywatch_official,EveryWatch,watch,watchmarket,1,106,https://www.instagram.com/everywatch_official/,https://www.instagram.com/p/Da5sj99DBhM/,
tonygreen.34,Tony Green,gambling,sportsbetting,1,0,https://www.instagram.com/tonygreen.34/,https://www.instagram.com/p/Da_hzYzJkbf/,
gmnews_global,Gaming & Media News 🌎,gambling,sportsbetting,1,1,https://www.instagram.com/gmnews_global/,https://www.instagram.com/p/Da_fvIKna4G/,
puddins_pop,Puddin's POP,gambling,sportsbetting,1,0,https://www.instagram.com/puddins_pop/,https://www.instagram.com/p/Da_fumAmPUN/,
mrsuniversetramluu,Tram Luu,gambling,sportsbetting,1,2,https://www.instagram.com/mrsuniversetramluu/,https://www.instagram.com/p/Da_ee1gFcSV/,
breakersoverlays,,pokemon,pokemonbreaks,1,13,https://www.instagram.com/breakersoverlays/,https://www.instagram.com/p/Da2eQzhoQn4/,
graphjunkie,Graphjunkie | Street Art & Card Breaks,pokemon,pokemonbreaks,1,23,https://www.instagram.com/graphjunkie/,https://www.instagram.com/p/DayZG7ej__m/,
shanepokepulls,Pokemon slabs and singles,pokemon,pokemonbreaks,1,48,https://www.instagram.com/shanepokepulls/,https://www.instagram.com/p/DaeUn9dkeex/,
saucy.swipes,Saucy Swipes,pokemon,pokemonbreaks,1,0,https://www.instagram.com/saucy.swipes/,https://www.instagram.com/p/DaVvfqFBrH3/,
virginiecarroll94,Virginie Carroll,pokemon,pokemonbreaks,1,0,https://www.instagram.com/virginiecarroll94/,https://www.instagram.com/p/DaDK68dyo75/,
thecardconomist,TheCardconomist,pokemon,pokemonbreaks,1,20,https://www.instagram.com/thecardconomist/,https://www.instagram.com/p/DZ-1vmgOcY3/,
pokeev.tcg,Poké EV,pokemon,pokemonbreaks,1,10,https://www.instagram.com/pokeev.tcg/,https://www.instagram.com/p/DZ0trfRErUx/,
spacecitytcgsportbreaksllc,Space City TCG & Sports Breaks LLC,pokemon,pokemonbreaks,1,3,https://www.instagram.com/spacecitytcgsportbreaksllc/,https://www.instagram.com/p/DZytoVft7GV/,
alissbreaks,AlissBreaks,pokemon,pokemonbreaks,1,2,https://www.instagram.com/alissbreaks/,https://www.instagram.com/p/DZyjtFENo_f/,
ballersbank_tcg,Ballersbank TCG,pokemon,pokemonbreaks,1,7,https://www.instagram.com/ballersbank_tcg/,https://www.instagram.com/p/DZwEQLYG0rl/,
galaxskii,galaxski,pokemon,pokemonbreaks,1,5,https://www.instagram.com/galaxskii/,https://www.instagram.com/p/DZsDSjstl3D/,
ripitlikeitshott,Rip It Like It’s Hot,pokemon,pokemonbreaks,1,2,https://www.instagram.com/ripitlikeitshott/,https://www.instagram.com/p/DZqUnFKzUi8/,
overlaydeck,Overlay Deck,pokemon,pokemonbreaks,1,3,https://www.instagram.com/overlaydeck/,https://www.instagram.com/p/DZnYXFyjjEp/,
djleoneo,Dj Leo Neo,brand,kalshi,1,-1,https://www.instagram.com/djleoneo/,https://www.instagram.com/p/Da_h6H1tWIv/,
real_tc_trading,TC Trading,brand,kalshi,1,0,https://www.instagram.com/real_tc_trading/,https://www.instagram.com/p/Da_e8RfgcUi/,
juanita_chagolla,Juanita Chagolla,brand,kalshi,1,4,https://www.instagram.com/juanita_chagolla/,https://www.instagram.com/p/Da_ckbfluXa/,
the_lunacrystal,Crystal,brand,kalshi,1,0,https://www.instagram.com/the_lunacrystal/,https://www.instagram.com/p/Da_bN3JB3ZY/,
asavwms,Asa 🖤🤎💜,brand,kalshi,1,0,https://www.instagram.com/asavwms/,https://www.instagram.com/p/Da_OP1iEQB3/,
filmoviment,Filmoviment ®,brand,kalshi,1,5,https://www.instagram.com/filmoviment/,https://www.instagram.com/p/Da_NPrAlC3o/,
interstate_outdoor,Interstate Outdoor Advertising,brand,kalshi,1,-1,https://www.instagram.com/interstate_outdoor/,https://www.instagram.com/p/Da_D3oWRnO-/,
unplayed_org,,brand,kalshi,1,0,https://www.instagram.com/unplayed_org/,https://www.instagram.com/p/Da-6OqekUus/,
moviesnscene,Movies & Scenes,brand,kalshi,1,3,https://www.instagram.com/moviesnscene/,https://www.instagram.com/p/Da-sxjkivFF/,
onlygoodbloopers,Movies & More,brand,kalshi,1,35,https://www.instagram.com/onlygoodbloopers/,https://www.instagram.com/p/Da-qmbbDZgk/,
conspiracy.deception,👁️Conspiracy👁️,brand,kalshi,1,2,https://www.instagram.com/conspiracy.deception/,https://www.instagram.com/p/Da-qXzMk6NQ/,
brainyideas666,Brainy Ideas,brand,kalshi,1,1,https://www.instagram.com/brainyideas666/,https://www.instagram.com/p/Da-qOJwFdW7/,
singersexplained,Rock | Music | Culture,brand,kalshi,1,0,https://www.instagram.com/singersexplained/,https://www.instagram.com/p/Da-qMPMEifU/,
healthyshows,Healthy Shows,brand,kalshi,1,-1,https://www.instagram.com/healthyshows/,https://www.instagram.com/p/Da-qKWmFnjn/,
media,Media 📰,brand,kalshi,1,11,https://www.instagram.com/media/,https://www.instagram.com/p/Da-p8DGk-sS/,
artistic_unity_,ARTISTIC • MUSIC • COUNTRY • GOSSIP • NEWS,brand,kalshi,1,0,https://www.instagram.com/artistic_unity_/,https://www.instagram.com/p/Da-oCK3DALP/,
dialistofficial,Dialist,watch,watchdealer,1,0,https://www.instagram.com/dialistofficial/,https://www.instagram.com/p/Da_VZbrEZ9b/,
