username,platform,comments_on_competitors,posts_engaged,source,profile
metztreme,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/metztreme/
angelacompres,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/angelacompres/
crystallizedartist,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/crystallizedartist/
larisagabushow,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/larisagabushow/
juliachangcoaching,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/juliachangcoaching/
alek8888888888,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/alek8888888888/
les_cafes_signatures,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/les_cafes_signatures/
quentin_voulgaris,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/quentin_voulgaris/
dimbulbzer0,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/dimbulbzer0/
mooniesmakeup,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/mooniesmakeup/
mina_jaz_moon,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/mina_jaz_moon/
sheislimitless.co,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/sheislimitless.co/
_moonchildcreations,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/_moonchildcreations/
suman_goyal__9,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/suman_goyal__9/
ueheh9530,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/ueheh9530/
garr2745,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/garr2745/
thomas_the_artist,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/thomas_the_artist/
nando.blends,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/nando.blends/
spydr_awk,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/spydr_awk/
csgofreeskins_,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/csgofreeskins_/
felipevidoi,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/felipevidoi/
olass90,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/olass90/
cs_aim_v1,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/cs_aim_v1/
finlaytcg,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/finlaytcg/
danie__19,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/danie__19/
tildysbonsai,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/tildysbonsai/
margrob25,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/margrob25/
irmamadas,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/irmamadas/
luvekat,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/luvekat/
realgeorginataylor,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/realgeorginataylor/
fayexfatale,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/fayexfatale/
ventura_locals,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/ventura_locals/
missvintagemomo,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/missvintagemomo/
deadlydarlingshop,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/deadlydarlingshop/
send_it_on.40,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/send_it_on.40/
mariish_kaaa,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/mariish_kaaa/
koraycalik,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/koraycalik/
gabridisegna,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/gabridisegna/
dylandifante,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/dylandifante/
dylantalbot51,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/dylantalbot51/
original_dilly,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/original_dilly/
mpdunphy,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/mpdunphy/
r3id,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/r3id/
evanweinstock57,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/evanweinstock57/
derare.cards,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/derare.cards/
andrew.auriemma,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/andrew.auriemma/
zminisce11,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/zminisce11/
brad_abrey,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/brad_abrey/
